path,y_true,y_fft,y_sem
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00019142.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00013643.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/ai/802_biggan_00035.png,1,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00048267.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00014819.JPEG,0,1,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/ai/820_biggan_00143.png,1,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/ai/778_biggan_00143.png,1,0,1
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00002205.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/ai/601_biggan_00020.png,1,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00035276.JPEG,0,1,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00039888.JPEG,0,1,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00049432.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/ai/050_biggan_00127.png,1,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/ai/134_biggan_00035.png,1,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00025606.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00035657.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00004716.JPEG,0,0,0
/workspace/benchmarks_ai_research/data/genimage/biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00042926.JPEG,0,0,0
