path,logit,confidence,margin1,entropy1,flip,y_cnn,y_true,generator
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/01d7dce697b2c3be67fa8e5c77be91c82be0ba9e590b4c2636f2c98b944229f6.mp4,-29.2548770904541,0.9999999999998028,29.2548770904541,4.608713686641626e-12,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/01657b74cbc6265899b7ec80f7fb089aacd97e87190d696261632f2f3d595551.mp4,-21.479488372802734,0.9999999995305636,21.479488372802734,1.0550690683767118e-08,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/00bc6d099e238d673ab49da3c4ee6c3948ef3bac6fc339b129ef5cd242b1838a.mp4,1.4533302783966064,0.8105104565620422,1.4533302783966064,0.48548195032666713,0,1,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/00b7d4faaf2a33451384d4f5e94be1e08e5c748775e50993f0b906edd0b2744a.mp4,-23.831287384033203,0.9999999999553107,23.831287384033203,1.1077034573252907e-09,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/00b2a2722089d0fe98102895074f5fd2cc44f7291f91581657ce6d6180aa0cba.mp4,-15.224512100219727,0.9999997556128903,15.224512100219727,3.965059649962839e-06,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/ffabb5b699586169b8b13343eb4ff1193aa7d6877f3aaa5479e3358da6512b7b.mp4,-28.693775177001953,0.9999999999996545,28.693775177001953,8.789478373216537e-12,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/ff81da7f4707728ba5cf56ea2a8c14963a46176cb2746de2d6b4d23c32b33231.mp4,-11.359898567199707,0.9999883465725361,11.359898567199707,0.00014403524728796345,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/ff672899dba83014d31d95bc75049f67b395e21cfdad578d1c099cdae7df796b.mp4,-21.149372100830078,0.999999999346953,21.149372100830078,1.4462579553074018e-08,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/fe41e6ae69865f2593b5dc2b479cde7cb7ae8a83142deb2574e0ecec0e13b17e.mp4,-26.490299224853516,0.999999999996871,26.490299224853516,8.415017783816705e-11,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/fe01dd8cabab86d44b7399572aa218e841230685a5e22c8148b3956b77d16636.mp4,-24.324447631835938,0.9999999999727085,24.324447631835938,6.891588241853929e-10,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/fd9567f10d00d9d0d966ffa8c39445273be9822841d0376b14c1992b0fd5104a.mp4,-6.759000778198242,0.9988409568322822,6.759000778198242,0.008993689020563942,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/fd4bc0ee6bc371fc65baaeb3b0fcc2e82895b4057123786ab518d00c3151597e.mp4,-27.6752986907959,0.9999999999990433,27.6752986907959,2.574879818752006e-11,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/fd38260b2d293fb0294ed8f7a5cda8665073a36bca8fcbba382fd7608a1fdf8d.mp4,-13.578486442565918,0.9999987325298889,13.578486442565918,1.8477794599540703e-05,0,0,0,real
/workspace/data/genbuster-mini/extracted/GenBuster-200K-mini/benchmark/real/fd02416ac8201fc9ec6eaab453d52ea03f0b04ec48dc93f08e5b8457eb72b538.mp4,-0.3235875070095062,0.5801983177661896,0.3235875070095062,0.6802279077620366,1,0,0,real
